name,price,status,shipping,free_returns,items_sold
GROOVYPETS Automatic No Bark Dog Training Collar Waterproof Barking Terminator,3499,Brand New,0,False,864
Pet Dog Clothes Puppy T Shirt Clothing For Small Dogs Puppy Chihuahua VestPlaid#,135271,Brand New,0,False,
4900 FT Remote Dog Shock Training Collar Rechargeable Waterproof LCD Pet Trainer,30686489,Brand New,0,False,
Dog & Cat floating water bowl,1999,Brand New,0,False,
"Bark Collar for Small Medium Large Dogs, Anti Barking Training 7Intensity Beep",899,Brand New,0,True,
"2"" Width Handmade Dog Collar Genuine Real LEATHER for Medium and Large Pet M-XXL",1759,Brand New,0,False,
Dog Muzzle Mouth Cover Anti Bite Barking Chewing Mesh Mask Small Large Pet Cat,539674,Brand New,0,True,78
Reflective Nylon Cat Collar With Bell For kitten Small Dog Puppy Pet Adjustable,99,Brand New,0,False,
Adopt Your Pet From Me Today! Mega Neon Fly Ride MFR/NFR/FR ✨CHEAPEST & FASTEST✨,999599,Brand New,0,False,
5Pc Dog Squeaky Toys Durable Plush Toy for Puppy Large Small Dogs Pets Squeaker,1699,Brand New,0,True,2495
Country Brook Petz® 1 1/2 Inch Deluxe Dog Collar- Floral Collection,1397,Brand New,0,False,
"Greenies Teenie Dental Dog Treats, 54 oz (192 count) Exp 8/25",4599,Brand New,0,False,188
"Bully Sticks 12"" 100% Natural Beef Bully Sticks Dog Chews & Treats USA Sourced 6",549929999,Brand New,0,True,207
"Pre & Probiotic Soft Chews, All Dog, Liver, 120 Soft Chews, 6.3 oz (180 g)",1458,Brand New,0,False,1343
Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man 1 - GOOD,913,Pre-Owned,0,True,235
Niche Brands  50Ft Dog Bark Deterrent Devices W/3X UltraSonic Emitters | No Bark,3324,Brand New,0,True,181
"2-Dog Seatbelt Lock (Silencer)s, ",1149,Brand New,0,False,
KONG Red Classic Dog Toy For Dogs Ball Chew Teething Aid ~ PICK SIZE,7952699,Brand New,0,False,1103
3/4 inch Wide Harley Dog Collar 3 SIZES/4Designs on Black Nylon,10001200,Brand New,451,False,24
